,moqual,faqual,admingrade,eduspecneeds,prevgrade,ownschshp,prevqual,displaced,debtor,paidfeetodate,gender,secsemgrade,target,course
0,19,12,127.3,0,122,0,1,1,0,1,1,0,0,171
1,1,3,142.5,0,160,0,1,1,0,0,1,13.66666667,1,9254
2,37,37,124.8,0,122,0,1,1,0,0,1,0,0,9070
3,38,37,119.6,0,122,0,1,1,0,1,0,12.4,1,9773
4,37,38,141.5,0,100,0,1,0,0,1,0,13,1,8014
5,37,37,114.8,0,133.1,0,19,0,1,1,1,11.5,1,9991
6,19,38,128.4,0,142,1,1,1,0,1,0,14.345,1,9500
7,37,37,113.1,0,119,0,1,1,0,0,1,0,0,9254
8,1,1,129.3,0,137,1,1,0,0,1,0,14.14285714,1,9238
9,1,19,123,0,138,0,1,1,1,0,0,13.5,0,9238
10,38,19,130.6,0,139,0,1,1,0,1,0,14.2,1,9670
11,19,38,119.3,0,136,1,1,1,0,1,0,13.21428571,1,9500
12,19,37,130.2,0,133,0,1,1,0,1,0,0,0,9853
13,1,1,111.8,0,110,1,42,1,0,1,0,11,1,9254
14,38,37,137.1,0,149,1,1,1,0,1,0,12,1,9085
15,19,37,120.7,0,127,0,1,1,0,1,0,0,0,9773
17,19,1,127.3,0,135,0,1,1,0,1,0,14.545,1,9500
18,3,19,136.3,0,137,0,1,1,0,1,0,12.25,1,9130
20,1,1,120.3,0,122,1,1,0,0,1,0,0,1,171
22,19,19,125.5,0,142,0,1,1,0,1,0,12.85714286,1,9500
23,1,38,114.9,0,125,1,1,1,0,1,0,12.28571429,1,9670
24,19,19,123.9,0,126,0,1,0,0,1,0,14.11428571,1,9500
26,19,38,116.4,0,115,0,1,1,0,1,0,13.28571429,1,9238
28,19,1,122.1,0,135,0,1,1,0,1,0,12.33333333,1,9147
31,42,3,130,0,125,0,1,1,0,1,1,13.4,1,9070
33,19,1,134.5,0,138,0,1,1,0,1,0,14.375,1,8014
34,2,37,131.4,0,130,0,1,0,0,1,1,13.42857143,1,9991
35,38,37,102.5,0,130,0,1,0,1,0,1,10,0,33
36,34,37,128.8,0,133.1,0,10,1,0,1,1,0,0,9119
37,37,37,122.9,0,140,0,1,0,0,1,0,12,0,9147
38,19,19,113.9,0,120,0,1,1,0,1,0,11.6,1,9991
39,4,4,120,0,120,0,39,0,1,0,0,12,0,9130
40,3,3,121.1,0,126,0,1,0,1,1,0,0,0,9773
41,3,19,120.4,0,133,0,1,1,0,1,0,15.8,1,9147
